current_round,agents_data,death_data,birth_data
11,"(196, 502)","(28, 0)","(8, 28)"
12,"(497, 576)","(1, 0)","(302, 74)"
13,"(385, 630)","(89, 0)","(0, 54)"
14,"(319, 694)","(66, 0)","(12, 64)"
15,"(758, 744)","(7, 0)","(446, 50)"
16,"(580, 832)","(148, 2)","(4, 90)"
17,"(1332, 974)","(96, 0)","(862, 142)"
18,"(968, 1024)","(299, 0)","(4, 50)"
19,"(787, 1098)","(169, 0)","(32, 74)"
20,"(1910, 1161)","(13, 1)","(1136, 64)"
21,"(1335, 1262)","(458, 1)","(8, 102)"
2,"(91, 300)","(9, 0)","(0, 0)"
3,"(82, 300)","(7, 0)","(0, 0)"
4,"(74, 300)","(7, 0)","(0, 0)"
5,"(69, 300)","(5, 0)","(0, 0)"
6,"(193, 310)","(0, 0)","(124, 10)"
7,"(157, 356)","(32, 0)","(2, 46)"
8,"(391, 406)","(18, 0)","(256, 50)"
9,"(300, 422)","(74, 0)","(0, 16)"
10,"(246, 440)","(47, 0)","(4, 18)"
11,"(214, 444)","(32, 0)","(6, 4)"
12,"(561, 513)","(3, 3)","(350, 72)"
13,"(419, 551)","(118, 0)","(4, 38)"
14,"(325, 607)","(84, 0)","(4, 56)"
15,"(792, 653)","(5, 0)","(472, 46)"
16,"(586, 749)","(173, 2)","(10, 98)"
17,"(1283, 845)","(108, 2)","(822, 98)"
18,"(910, 906)","(308, 1)","(14, 62)"
19,"(682, 936)","(192, 0)","(8, 30)"
20,"(1703, 972)","(5, 0)","(1028, 36)"
21,"(1207, 1040)","(410, 0)","(18, 68)"
2,"(86, 300)","(12, 0)","(0, 0)"
3,"(75, 300)","(10, 0)","(0, 0)"
4,"(68, 300)","(7, 0)","(0, 0)"
5,"(62, 300)","(6, 0)","(0, 0)"
6,"(174, 310)","(0, 0)","(112, 10)"
7,"(142, 328)","(26, 0)","(0, 18)"
8,"(119, 342)","(20, 0)","(0, 14)"
