player_choice,computer_choice,result,round_number,player_health,computer_health,player_char
0,1,2,2,100,56,1
2,1,3,3,100,34,1
1,1,3,4,100,34,1
1,1,3,5,75,34,1
1,1,3,6,50,34,1
1,1,3,7,25,34,1
1,1,4,8,25,15,1
1,1,4,9,0,15,1
1,2,0,1,69,100,2
1,2,0,2,69,100,2
1,2,1,3,69,75,2
1,2,1,4,69,75,2
1,2,1,5,69,75,2
1,2,1,6,69,75,2
1,2,1,7,69,75,2
1,2,1,8,69,75,2
1,2,1,9,69,75,2
1,2,1,10,69,75,2
1,2,1,11,69,75,2
1,2,1,12,69,75,2
1,2,1,13,69,75,2
1,2,1,14,69,75,2
1,2,1,15,69,75,2
1,2,1,16,69,75,2
1,2,1,17,69,75,2
1,2,1,18,69,75,2
1,2,1,19,69,75,2
1,2,1,20,69,75,2
1,2,1,21,69,75,2
1,2,1,22,69,75,2
1,2,1,23,69,75,2
1,2,1,24,69,75,2
1,2,1,25,69,75,2
1,2,1,26,69,75,2
1,2,1,27,69,75,2
1,2,1,28,69,75,2
1,2,1,29,69,75,2
1,2,1,30,69,75,2
1,2,1,31,69,75,2
1,2,1,32,69,75,2
1,2,1,33,69,75,2
1,2,1,34,69,75,2
1,2,1,35,69,75,2
1,2,1,36,69,75,2
1,2,1,37,69,75,2
1,2,1,38,69,75,2
1,2,1,39,69,75,2
1,2,1,40,69,75,2
1,2,1,41,69,75,2
1,2,1,42,69,75,2
1,2,1,43,69,75,2
1,2,1,44,69,75,2
1,2,1,45,69,75,2
1,2,1,46,69,75,2
1,2,1,47,69,75,2
1,2,1,48,69,75,2
1,2,1,49,69,75,2
1,2,1,50,69,75,2
1,2,1,51,69,75,2
1,2,1,52,69,75,2
0,2,2,53,69,44,2
2,2,2,54,69,44,2
1,2,2,55,69,44,2
1,2,3,56,69,19,2
2,2,3,57,69,19,2
2,2,3,58,44,19,2
1,2,3,59,44,19,2
1,2,4,60,44,-6,2
0,2,0,1,100,100,2
0,2,0,2,100,100,2
0,2,0,3,75,100,2
0,2,1,4,75,69,2
0,2,2,5,75,38,2
0,2,2,6,50,38,2
2,2,2,7,50,38,2
2,2,2,8,25,38,2
1,2,2,9,25,38,2
1,2,3,10,25,13,2
1,2,4,11,25,-12,2
1,6,1,1,100,75,5
1,6,2,2,100,50,5
1,6,2,3,100,50,5
1,6,2,4,100,50,5
1,6,2,5,100,50,5
1,6,2,6,100,50,5
1,6,2,7,100,50,5
1,6,3,8,100,25,5
1,6,4,9,100,0,5
1,4,1,1,100,75,4
1,4,1,2,100,75,4
1,4,1,3,100,75,4
1,4,1,4,100,75,4
1,4,1,5,100,75,4
1,4,1,6,100,75,4
1,4,1,7,100,75,4
1,4,1,8,100,75,4
1,4,1,9,100,75,4
1,4,1,10,100,75,4
1,4,1,11,100,75,4
1,4,1,12,100,75,4
1,4,1,13,100,75,4
1,4,1,14,100,75,4
1,4,1,15,100,75,4
1,4,1,16,100,75,4
1,4,1,17,100,75,4
1,4,1,18,100,75,4
1,4,1,19,100,75,4
1,4,1,20,100,75,4
1,4,1,21,100,75,4
1,4,1,22,100,75,4
1,4,1,23,100,75,4
1,4,1,24,100,75,4
1,4,1,25,100,75,4
1,4,1,26,100,75,4
1,4,1,27,100,75,4
1,4,1,28,100,75,4
1,4,1,29,100,75,4
1,4,1,30,100,75,4
1,4,1,31,100,75,4
1,4,1,32,100,75,4
1,4,1,33,100,75,4
1,4,1,34,100,75,4
1,4,1,35,100,75,4
1,4,1,36,100,75,4
1,4,1,37,100,75,4
1,4,1,38,100,75,4
1,4,1,39,100,75,4
2,4,1,40,75,75,4
1,4,1,41,75,75,4
1,4,1,42,75,75,4
1,4,1,43,75,75,4
1,4,1,44,75,75,4
1,4,1,45,75,75,4
1,4,1,46,75,75,4
1,4,1,47,75,75,4
1,4,1,48,75,75,4
1,4,1,49,75,75,4
1,4,1,50,75,75,4
1,4,1,51,75,75,4
1,4,1,52,75,75,4
1,4,1,53,75,75,4
1,4,1,54,75,75,4
1,4,1,55,75,75,4
1,4,1,56,75,75,4
1,4,1,57,75,75,4
1,4,1,58,75,75,4
1,4,1,59,75,75,4
1,4,1,60,75,75,4
1,4,1,61,75,75,4
1,4,1,62,75,75,4
1,4,1,63,75,75,4
1,4,1,64,75,75,4
1,4,1,65,75,75,4
1,4,1,66,75,75,4
1,4,1,67,75,75,4
1,4,1,68,75,75,4
1,4,1,69,75,75,4
0,4,2,70,75,53,4
1,4,3,71,75,28,4
1,4,3,72,53,28,4
1,4,4,73,53,3,4
1,4,5,74,53,-22,4
2,6,0,1,100,100,5
2,6,0,2,100,100,5
2,6,0,3,78,100,5
2,6,0,4,56,100,5
2,6,0,5,34,100,5
0,6,1,6,34,75,5
1,6,1,7,34,75,5
1,6,1,8,34,75,5
1,6,1,9,34,75,5
1,6,1,10,34,75,5
1,6,1,11,34,75,5
1,6,1,12,34,75,5
1,6,1,13,34,75,5
1,6,1,14,34,75,5
1,6,1,15,34,75,5
1,6,1,16,34,75,5
1,6,1,17,34,75,5
2,6,1,18,12,75,5
2,6,1,19,-10,75,5
1,0,1,1,100,81,1
1,0,1,2,100,81,1
1,0,1,3,100,81,1
1,0,1,4,100,81,1
1,0,1,5,100,81,1
1,0,1,6,100,81,1
1,0,1,7,100,81,1
1,0,1,8,100,81,1
1,0,1,9,100,81,1
2,0,1,10,78,81,1
0,0,2,11,78,56,1
0,0,2,12,78,56,1
0,0,2,13,78,56,1
0,0,2,14,78,56,1
0,0,2,15,78,56,1
0,0,2,16,78,56,1
0,0,2,17,78,56,1
1,0,2,18,59,56,1
1,0,2,19,40,56,1
1,0,3,20,40,37,1
2,0,3,21,40,37,1
0,0,4,22,40,12,1
1,0,5,23,40,-7,1
1,2,1,1,100,75,4
1,2,1,2,100,75,4
1,2,1,3,100,75,4
1,2,1,4,100,75,4
1,2,1,5,100,75,4
1,2,1,6,100,75,4
1,2,1,7,100,75,4
1,2,1,8,100,75,4
1,2,1,9,100,75,4
1,2,1,10,100,75,4
1,2,1,11,100,75,4
1,2,1,12,100,75,4
2,2,1,13,75,75,4
0,2,2,14,75,53,4
1,2,3,15,75,28,4
2,2,3,16,75,28,4
0,2,4,17,75,6,4
1,2,4,18,44,6,4
2,2,4,19,44,6,4
0,2,5,20,44,-16,4
1,0,1,1,100,81,1
1,0,1,2,100,81,1
1,0,1,3,100,81,1
1,0,1,4,100,81,1
1,0,1,5,100,81,1
1,0,1,6,100,81,1
1,0,1,7,100,81,1
1,0,1,8,100,81,1
1,0,1,9,100,81,1
1,0,1,10,100,81,1
1,0,1,11,100,81,1
2,0,1,12,78,81,1
2,0,2,13,78,59,1
0,0,2,14,78,59,1
0,0,2,15,62,59,1
0,0,3,16,62,34,1
2,0,3,17,62,34,1
2,0,3,18,40,34,1
2,0,3,19,18,34,1
2,0,3,20,-4,34,1
1,1,0,1,75,100,6
1,1,0,2,50,100,6
1,1,0,3,25,100,6
1,1,0,4,0,100,6
1,0,0,1,81,100,5
1,0,0,2,81,100,5
1,0,0,3,81,100,5
1,0,0,4,81,100,5
1,0,0,5,81,100,5
1,0,0,6,81,100,5
1,0,0,7,81,100,5
1,0,0,8,81,100,5
1,0,0,9,81,100,5
1,0,0,10,81,100,5
1,0,0,11,81,100,5
1,0,0,12,81,100,5
1,0,0,13,81,100,5
1,0,0,14,81,100,5
1,0,0,15,81,100,5
1,0,0,16,81,100,5
1,0,0,17,81,100,5
1,0,0,18,81,100,5
1,0,0,19,81,100,5
1,0,0,20,81,100,5
1,0,0,21,81,100,5
1,0,0,22,81,100,5
1,0,0,23,81,100,5
1,0,0,24,81,100,5
1,0,0,25,81,100,5
1,0,0,26,81,100,5
1,0,0,27,81,100,5
1,0,0,28,81,100,5
1,0,0,29,81,100,5
1,0,0,30,81,100,5
1,0,0,31,81,100,5
1,0,0,32,81,100,5
1,0,0,33,81,100,5
1,0,0,34,81,100,5
1,0,0,35,81,100,5
1,0,0,36,81,100,5
1,0,0,37,81,100,5
1,0,0,38,81,100,5
1,0,0,39,81,100,5
1,0,0,40,81,100,5
1,0,0,41,81,100,5
1,0,0,42,81,100,5
1,0,0,43,81,100,5
1,0,0,44,81,100,5
1,0,0,45,81,100,5
1,0,0,46,81,100,5
1,0,0,47,81,100,5
1,0,0,48,81,100,5
1,0,0,49,81,100,5
1,0,0,50,81,100,5
1,0,0,51,81,100,5
1,0,0,52,81,100,5
1,0,0,53,81,100,5
1,0,0,54,81,100,5
1,0,0,55,81,100,5
1,0,0,56,81,100,5
1,0,0,57,81,100,5
1,0,0,58,81,100,5
1,0,0,59,81,100,5
1,0,0,60,81,100,5
1,0,0,61,81,100,5
2,0,0,62,59,100,5
1,0,0,63,59,100,5
1,0,0,64,59,100,5
0,0,1,65,59,75,5
1,0,1,66,59,75,5
2,0,1,67,37,75,5
0,0,2,68,37,50,5
1,0,3,69,37,25,5
2,0,3,70,15,25,5
0,0,4,71,15,0,5
1,4,0,1,78,100,5
1,4,0,2,78,100,5
1,4,0,3,78,100,5
1,4,0,4,78,100,5
1,4,0,5,78,100,5
1,4,0,6,78,100,5
1,4,0,7,78,100,5
1,4,0,8,78,100,5
1,4,0,9,78,100,5
1,4,0,10,78,100,5
1,4,0,11,78,100,5
1,4,0,12,78,100,5
1,4,0,13,78,100,5
1,4,0,14,78,100,5
1,4,0,15,78,100,5
1,4,0,16,78,100,5
1,4,0,17,78,100,5
1,4,0,18,78,100,5
1,4,0,19,78,100,5
1,4,0,20,78,100,5
1,4,0,21,78,100,5
1,4,0,22,78,100,5
